viewer_id,login_date,device_type,session_score,login_channel
7,2024-03-21,Web,34.5,Google
7,2025-01-04,Tablet,92.7,Email
7,2024-08-19,Mobile,66.7,Google
7,2025-02-06,Tablet,52.1,Google
7,2025-03-05,Mobile,57.0,Facebook
7,2025-06-08,Smart TV,95.8,Google
7,2025-02-14,Web,32.3,Apple
7,2024-09-17,Mobile,66.9,Facebook
8,2024-10-08,Mobile,68.9,Google
8,2023-07-16,Gaming Console,21.4,Apple
8,2025-05-06,Gaming Console,89.8,Apple
8,2025-02-22,Mobile,94.6,Email
8,2024-01-08,Mobile,65.2,Facebook
8,2023-11-05,Smart TV,75.7,Email
8,2024-11-21,Mobile,93.8,Apple
8,2024-02-07,Gaming Console,76.6,Email
8,2024-03-01,Mobile,32.2,Google
8,2023-07-01,Smart TV,66.1,Apple
8,2025-03-23,Smart TV,68.5,Email
8,2024-08-13,Mobile,53.9,Facebook
8,2024-04-14,Web,78.9,Google
9,2023-10-08,Mobile,87.2,Email
9,2024-10-01,Smart TV,92.9,Apple
9,2023-07-19,Tablet,29.8,Facebook
9,2024-12-23,Smart TV,38.9,Google
9,2023-12-01,Tablet,33.2,Mobile OTP
9,2024-04-28,Web,34.9,Facebook
9,2024-03-02,Gaming Console,87.0,Google
9,2024-03-23,Tablet,46.6,Facebook
9,2024-12-05,Mobile,44.9,Facebook
9,2025-01-14,Smart TV,38.2,Facebook
9,2024-08-14,Web,68.6,Mobile OTP
9,2023-08-28,Smart TV,50.3,Google
9,2023-08-04,Tablet,79.5,Mobile OTP
9,2023-10-20,Tablet,36.4,Google
9,2024-09-20,Tablet,83.0,Mobile OTP
9,2024-10-31,Smart TV,68.3,Google
9,2024-01-11,Web,29.1,Facebook
9,2024-10-22,Mobile,53.2,Google
9,2024-06-16,Mobile,89.1,Email
10,2024-05-15,Gaming Console,47.7,Facebook
10,2024-01-12,Gaming Console,47.8,Email
10,2024-12-29,Tablet,79.0,Facebook
10,2023-09-18,Gaming Console,56.2,Email
10,2024-05-06,Tablet,38.0,Facebook
10,2024-01-20,Gaming Console,56.2,Mobile OTP
10,2024-11-03,Smart TV,31.3,Google
10,2024-06-16,Gaming Console,34.1,Apple
10,2024-10-26,Tablet,59.9,Mobile OTP
10,2023-07-30,Mobile,53.5,Mobile OTP
10,2024-04-10,Web,93.2,Mobile OTP
10,2024-09-07,Tablet,49.0,Mobile OTP
10,2023-07-02,Smart TV,66.4,Email
10,2024-02-02,Tablet,70.6,Email
10,2023-11-28,Web,21.0,Email
10,2023-10-05,Mobile,73.1,Mobile OTP
10,2023-12-30,Smart TV,34.2,Google
11,2024-02-21,Smart TV,56.7,Google
11,2023-07-02,Tablet,64.6,Google
11,2024-12-24,Web,88.9,Apple
11,2023-11-02,Gaming Console,62.8,Google
11,2024-03-30,Gaming Console,34.8,Facebook
11,2024-11-22,Gaming Console,44.0,Email
11,2024-06-26,Smart TV,44.8,Mobile OTP
11,2025-02-25,Web,51.8,Mobile OTP
11,2025-02-05,Smart TV,54.1,Email
11,2023-08-18,Gaming Console,84.0,Email
11,2025-03-17,Web,48.0,Google
11,2023-07-27,Gaming Console,57.5,Facebook
11,2023-07-10,Mobile,70.0,Apple
11,2025-04-30,Tablet,50.2,Apple
11,2025-03-18,Smart TV,86.9,Email
12,2024-08-20,Gaming Console,25.3,Email
12,2024-08-19,Smart TV,82.0,Email
12,2024-11-26,Gaming Console,56.3,Apple
12,2024-04-27,Tablet,62.0,Facebook
12,2023-09-19,Gaming Console,55.3,Facebook
12,2023-07-12,Gaming Console,52.1,Google
12,2024-02-19,Gaming Console,64.8,Email
12,2025-02-01,Smart TV,32.4,Apple
12,2024-09-20,Web,34.6,Email
12,2025-02-24,Web,88.9,Email
12,2025-04-29,Smart TV,95.7,Apple
12,2023-08-30,Mobile,49.9,Facebook
12,2025-03-05,Tablet,41.7,Google
12,2023-12-21,Mobile,71.5,Google
13,2024-08-30,Smart TV,22.0,Facebook
13,2024-07-14,Mobile,32.5,Mobile OTP
13,2024-04-11,Tablet,77.3,Mobile OTP
13,2024-02-08,Web,72.7,Apple
13,2024-03-01,Web,22.2,Email
13,2024-02-25,Web,37.8,Facebook
13,2023-10-27,Gaming Console,38.5,Google
13,2024-07-04,Smart TV,73.8,Apple
13,2023-09-18,Mobile,21.6,Facebook
13,2024-07-03,Smart TV,28.3,Google
13,2025-04-19,Web,84.0,Mobile OTP
13,2024-03-08,Tablet,34.3,Mobile OTP
14,2024-12-09,Gaming Console,64.5,Mobile OTP
14,2025-02-14,Tablet,77.7,Email
14,2025-02-11,Mobile,84.4,Facebook
14,2023-12-16,Smart TV,99.1,Email
14,2023-10-12,Tablet,68.3,Google
14,2023-11-18,Web,84.5,Facebook
14,2024-09-09,Tablet,97.0,Facebook
14,2025-01-02,Web,95.6,Google
14,2024-10-18,Mobile,31.3,Mobile OTP
14,2023-11-03,Gaming Console,52.5,Google
14,2025-01-11,Smart TV,45.9,Apple
14,2024-06-22,Web,27.0,Apple
15,2024-12-29,Mobile,78.9,Email
15,2025-01-02,Web,87.9,Email
15,2024-05-20,Smart TV,29.8,Google
15,2025-05-02,Tablet,90.1,Mobile OTP
15,2024-08-12,Mobile,71.4,Apple
15,2024-10-03,Tablet,76.3,Facebook
15,2024-09-25,Mobile,92.8,Facebook
15,2025-03-19,Gaming Console,70.0,Email
15,2024-09-27,Smart TV,46.9,Mobile OTP
15,2023-10-15,Smart TV,86.0,Mobile OTP
15,2023-08-15,Smart TV,49.0,Mobile OTP
15,2024-05-15,Smart TV,22.7,Email
15,2024-02-03,Gaming Console,86.5,Mobile OTP
15,2024-01-13,Gaming Console,47.6,Mobile OTP
15,2023-08-07,Tablet,81.9,Email
15,2024-07-01,Smart TV,49.0,Mobile OTP
15,2024-02-08,Smart TV,88.9,Email
15,2024-05-22,Mobile,37.6,Facebook
16,2023-08-07,Tablet,82.4,Email
16,2025-02-23,Smart TV,29.1,Mobile OTP
16,2023-08-22,Smart TV,65.3,Apple
16,2025-03-19,Tablet,98.8,Facebook
16,2025-03-13,Tablet,57.7,Facebook
16,2024-09-18,Smart TV,34.6,Mobile OTP
16,2024-07-01,Web,58.8,Email
16,2024-05-30,Mobile,61.0,Email
16,2024-08-05,Mobile,79.3,Google
16,2025-01-25,Gaming Console,75.9,Google
16,2025-04-11,Gaming Console,52.2,Facebook
16,2024-05-20,Mobile,37.4,Email
16,2025-02-07,Web,71.6,Apple
16,2024-10-15,Mobile,53.7,Google
16,2024-02-17,Mobile,30.6,Email
16,2024-06-08,Mobile,92.0,Apple
16,2023-10-15,Gaming Console,75.3,Apple
17,2023-08-11,Smart TV,21.5,Apple
17,2023-09-10,Tablet,93.1,Mobile OTP
17,2025-04-14,Gaming Console,29.4,Facebook
17,2024-03-04,Tablet,66.1,Facebook
17,2024-11-30,Gaming Console,41.9,Email
17,2024-06-29,Web,64.3,Apple
17,2023-10-31,Tablet,72.1,Google
17,2023-12-25,Tablet,86.4,Mobile OTP
17,2024-05-12,Web,36.5,Email
17,2024-05-13,Gaming Console,20.9,Google
17,2024-07-13,Web,31.0,Facebook
17,2023-10-21,Smart TV,92.0,Email
17,2024-03-25,Tablet,89.9,Mobile OTP
17,2024-01-19,Smart TV,67.8,Google
17,2024-04-20,Web,68.0,Email
17,2024-02-29,Smart TV,73.2,Google
18,2024-09-06,Gaming Console,65.9,Facebook
18,2025-01-23,Gaming Console,87.0,Mobile OTP
18,2024-10-12,Tablet,52.4,Facebook
18,2023-08-14,Gaming Console,81.7,Google
18,2023-09-04,Tablet,53.8,Facebook
18,2024-11-03,Mobile,48.3,Email
18,2024-01-20,Gaming Console,96.7,Mobile OTP
18,2024-12-07,Gaming Console,34.7,Apple
18,2024-10-18,Smart TV,27.2,Mobile OTP
18,2025-04-19,Smart TV,81.7,Email
18,2025-03-26,Smart TV,25.5,Facebook
18,2024-02-25,Mobile,87.0,Google
18,2024-08-25,Mobile,55.0,Mobile OTP
18,2023-10-08,Tablet,93.2,Facebook
18,2024-03-08,Gaming Console,77.7,Facebook
18,2025-06-03,Mobile,68.8,Email
18,2024-11-18,Web,95.9,Email
18,2024-04-08,Tablet,51.7,Mobile OTP
19,2024-09-03,Web,94.9,Facebook
19,2025-05-12,Smart TV,78.6,Email
19,2024-02-08,Smart TV,37.2,Email
19,2024-03-28,Smart TV,22.5,Facebook
19,2025-01-25,Tablet,41.0,Email
19,2025-02-10,Web,67.6,Facebook
19,2024-10-28,Mobile,24.1,Email
19,2025-02-21,Smart TV,59.7,Facebook
19,2024-12-18,Mobile,67.7,Email
19,2024-11-09,Web,46.7,Mobile OTP
19,2024-07-15,Mobile,81.7,Facebook
19,2024-10-11,Smart TV,28.5,Email
19,2024-05-01,Gaming Console,26.0,Mobile OTP
19,2024-03-17,Web,78.3,Apple
19,2024-03-18,Gaming Console,59.6,Google
19,2023-11-05,Tablet,75.1,Facebook
19,2023-11-30,Web,54.8,Google
19,2025-05-19,Web,39.7,Email
19,2024-06-16,Mobile,85.5,Apple
20,2023-12-09,Web,20.2,Mobile OTP
20,2023-10-05,Mobile,97.4,Apple
20,2023-08-22,Mobile,20.4,Apple
20,2025-03-05,Smart TV,28.2,Email
20,2023-09-08,Smart TV,45.2,Facebook
20,2025-01-10,Gaming Console,84.6,Facebook
20,2025-02-26,Smart TV,97.0,Email
20,2025-04-02,Gaming Console,83.2,Apple
20,2023-07-24,Gaming Console,75.2,Mobile OTP
20,2024-02-28,Mobile,61.7,Apple
20,2025-01-07,Mobile,26.9,Facebook
20,2023-09-30,Mobile,96.7,Mobile OTP
20,2024-03-28,Smart TV,80.7,Mobile OTP
20,2023-10-23,Web,71.1,Apple
20,2025-02-23,Tablet,80.7,Facebook
20,2025-01-10,Web,77.9,Mobile OTP
21,2025-02-07,Mobile,98.4,Facebook
21,2023-10-26,Mobile,92.3,Email
21,2024-05-11,Tablet,71.7,Apple
21,2024-04-22,Web,75.5,Facebook
21,2024-11-02,Tablet,24.1,Mobile OTP
21,2023-12-17,Web,73.6,Mobile OTP
21,2024-05-16,Gaming Console,23.5,Facebook
21,2024-01-21,Tablet,67.1,Apple
21,2024-12-25,Mobile,99.9,Facebook
21,2024-05-20,Mobile,64.5,Email
21,2024-07-21,Smart TV,57.9,Mobile OTP
21,2024-02-08,Web,45.0,Facebook
21,2025-02-07,Smart TV,29.6,Facebook
21,2024-06-03,Smart TV,78.5,Email
21,2025-02-26,Smart TV,35.4,Apple
21,2024-03-21,Web,29.2,Mobile OTP
21,2025-05-19,Gaming Console,53.7,Apple
22,2025-06-15,Tablet,79.6,Google
22,2024-05-29,Mobile,24.4,Mobile OTP
22,2024-01-18,Web,56.4,Google
22,2024-04-01,Tablet,61.8,Google
22,2024-07-16,Tablet,71.6,Facebook
22,2025-06-02,Web,72.0,Apple
22,2025-02-13,Tablet,49.2,Google
22,2025-02-01,Web,64.9,Apple
22,2023-10-06,Smart TV,58.5,Email
22,2023-12-26,Smart TV,90.8,Email
22,2024-10-07,Mobile,62.4,Apple
22,2025-03-26,Smart TV,55.3,Email
22,2024-08-05,Tablet,52.4,Apple
23,2023-09-09,Tablet,45.2,Mobile OTP
23,2025-03-06,Gaming Console,63.2,Google
23,2025-03-10,Smart TV,83.3,Google
23,2024-01-21,Web,45.5,Apple
23,2025-01-04,Mobile,70.1,Facebook
23,2024-01-12,Gaming Console,90.9,Facebook
23,2025-04-18,Tablet,69.3,Google
23,2023-10-12,Web,38.6,Apple
23,2024-05-11,Web,22.0,Google
23,2025-05-18,Smart TV,89.6,Apple
23,2023-12-06,Tablet,21.7,Facebook
23,2024-05-21,Tablet,90.0,Google
23,2024-03-08,Smart TV,62.3,Mobile OTP
23,2023-07-16,Gaming Console,95.1,Facebook
23,2023-08-04,Smart TV,83.9,Facebook
23,2024-06-27,Gaming Console,99.8,Apple
23,2023-12-16,Mobile,48.1,Email
23,2025-06-22,Tablet,81.4,Google
24,2024-03-27,Gaming Console,58.4,Email
24,2023-07-17,Mobile,66.5,Facebook
24,2025-05-07,Tablet,41.7,Apple
24,2025-03-01,Smart TV,51.9,Facebook
24,2024-10-14,Web,27.3,Google
24,2025-01-25,Gaming Console,46.9,Facebook
24,2023-10-05,Gaming Console,61.8,Facebook
24,2024-01-22,Gaming Console,78.6,Google
24,2025-02-22,Tablet,20.3,Mobile OTP
24,2024-11-16,Smart TV,57.4,Mobile OTP
24,2023-10-06,Web,43.8,Email
24,2024-11-23,Smart TV,88.2,Email
24,2024-05-19,Smart TV,77.2,Email
24,2023-06-30,Mobile,67.1,Google
24,2023-08-23,Gaming Console,42.2,Email
24,2023-12-31,Mobile,92.8,Google
25,2025-02-26,Web,28.8,Facebook
25,2024-08-01,Web,51.3,Apple
25,2024-12-09,Tablet,30.0,Mobile OTP
25,2024-07-16,Mobile,96.5,Apple
25,2023-09-16,Smart TV,83.8,Mobile OTP
25,2024-01-23,Smart TV,40.7,Email
25,2024-02-02,Mobile,67.1,Google
25,2023-07-31,Mobile,98.6,Google
25,2024-04-28,Web,90.7,Email
25,2025-01-27,Gaming Console,68.1,Mobile OTP
25,2024-05-26,Gaming Console,92.3,Mobile OTP
25,2023-09-16,Web,99.1,Google
25,2025-04-18,Mobile,79.5,Email
25,2024-09-05,Web,25.2,Google
25,2023-07-09,Web,52.1,Email
25,2024-07-07,Smart TV,87.0,Email
25,2023-12-20,Tablet,38.4,Mobile OTP
25,2023-10-09,Tablet,86.5,Mobile OTP
25,2024-05-05,Web,29.6,Apple
25,2024-09-18,Tablet,23.8,Mobile OTP
26,2023-12-19,Web,37.6,Facebook
26,2024-04-26,Web,34.9,Google
26,2024-10-24,Tablet,82.4,Google
26,2023-08-28,Tablet,48.0,Facebook
26,2025-06-08,Mobile,24.6,Facebook
26,2023-08-15,Web,97.5,Email
26,2024-07-15,Smart TV,90.7,Google
26,2024-07-01,Web,94.2,Email
26,2025-06-18,Web,99.6,Mobile OTP
26,2024-08-05,Gaming Console,33.9,Mobile OTP
26,2024-04-07,Mobile,51.7,Mobile OTP
26,2024-06-04,Web,80.7,Mobile OTP
26,2024-10-03,Smart TV,75.7,Email
26,2025-06-13,Gaming Console,32.3,Mobile OTP
26,2023-12-29,Web,85.3,Google
26,2023-07-08,Smart TV,38.0,Mobile OTP
26,2025-01-23,Web,37.9,Facebook
26,2024-03-05,Mobile,63.0,Google
26,2024-12-13,Mobile,67.4,Facebook
26,2024-09-28,Tablet,66.4,Google
27,2025-01-10,Mobile,56.6,Google
27,2024-12-15,Mobile,51.3,Email
27,2024-02-25,Web,41.8,Mobile OTP
27,2023-07-29,Gaming Console,58.1,Google
27,2024-07-30,Gaming Console,23.6,Apple
27,2025-02-10,Tablet,88.2,Email
27,2023-11-01,Web,22.8,Mobile OTP
27,2025-01-16,Smart TV,46.3,Facebook
27,2024-05-31,Mobile,94.5,Facebook
27,2024-11-16,Web,78.8,Mobile OTP
27,2024-09-30,Web,42.5,Email
27,2025-02-09,Mobile,40.2,Google
27,2023-08-12,Smart TV,20.4,Apple
28,2025-01-14,Tablet,23.9,Facebook
28,2024-05-26,Tablet,62.6,Facebook
28,2024-01-27,Smart TV,97.0,Email
28,2023-07-29,Web,28.8,Mobile OTP
28,2023-11-19,Mobile,91.6,Facebook
28,2023-07-27,Web,99.3,Mobile OTP
28,2025-05-09,Mobile,24.9,Google
28,2024-07-07,Mobile,90.6,Google
28,2025-06-19,Tablet,61.3,Apple
28,2024-07-27,Tablet,92.5,Google
28,2023-12-29,Web,65.7,Email
28,2024-12-28,Smart TV,73.0,Facebook
28,2023-11-13,Gaming Console,63.5,Email
28,2024-03-13,Web,89.2,Apple
28,2025-01-17,Mobile,78.7,Email
28,2025-03-20,Gaming Console,61.7,Apple
29,2024-02-24,Smart TV,39.6,Apple
29,2023-09-25,Mobile,32.6,Apple
29,2024-03-22,Tablet,32.8,Google
29,2025-04-07,Web,46.7,Facebook
29,2024-12-21,Gaming Console,39.1,Email
29,2025-04-10,Tablet,94.4,Facebook
29,2024-04-04,Mobile,28.5,Facebook
29,2025-06-07,Smart TV,75.9,Google
29,2024-06-23,Web,35.1,Mobile OTP
29,2024-06-24,Tablet,90.5,Facebook
29,2025-05-02,Tablet,96.9,Mobile OTP
29,2024-07-10,Gaming Console,57.2,Google
29,2025-02-01,Mobile,90.3,Email
29,2024-12-09,Smart TV,20.4,Mobile OTP
29,2023-08-23,Tablet,85.6,Facebook
29,2024-09-09,Web,38.3,Apple
29,2025-02-17,Gaming Console,92.7,Facebook
29,2024-07-29,Mobile,20.1,Apple
29,2024-02-16,Tablet,64.5,Facebook
30,2023-08-24,Smart TV,35.5,Google
30,2024-10-22,Gaming Console,26.7,Apple
30,2024-02-06,Web,46.1,Apple
30,2024-09-09,Mobile,64.8,Email
30,2024-05-03,Mobile,29.3,Email
30,2024-11-12,Gaming Console,50.1,Email
30,2024-03-09,Smart TV,20.7,Email
30,2023-07-27,Mobile,85.5,Facebook
30,2025-03-23,Web,30.3,Apple
30,2024-03-10,Web,42.7,Facebook
30,2025-06-25,Gaming Console,21.5,Google
30,2024-01-13,Gaming Console,54.6,Apple
30,2025-06-12,Gaming Console,87.2,Facebook
30,2025-05-19,Mobile,51.4,Apple
30,2023-08-20,Gaming Console,34.4,Facebook
30,2024-10-05,Web,80.3,Facebook
30,2024-03-18,Smart TV,83.1,Google
30,2025-02-01,Smart TV,33.9,Google
31,2024-11-04,Gaming Console,25.4,Email
31,2025-05-23,Mobile,44.1,Facebook
31,2023-10-09,Tablet,76.7,Facebook
31,2024-09-13,Smart TV,25.4,Mobile OTP
31,2025-01-18,Gaming Console,66.6,Email
31,2023-07-22,Web,47.7,Mobile OTP
31,2023-08-15,Mobile,69.7,Mobile OTP
31,2025-01-16,Web,23.7,Mobile OTP
31,2024-03-20,Smart TV,89.7,Google
31,2024-04-01,Mobile,97.9,Mobile OTP
31,2024-08-14,Tablet,97.5,Mobile OTP
31,2024-09-11,Tablet,80.0,Apple
31,2024-11-04,Web,30.4,Facebook
31,2025-05-20,Mobile,80.7,Email
31,2024-03-24,Web,22.0,Email
32,2025-01-04,Tablet,45.9,Apple
32,2024-08-19,Web,59.1,Facebook
32,2024-07-18,Gaming Console,81.6,Google
32,2024-04-12,Web,74.7,Apple
32,2024-10-13,Tablet,55.7,Google
32,2023-12-26,Web,41.9,Mobile OTP
32,2023-09-17,Mobile,99.8,Apple
32,2024-12-15,Smart TV,54.1,Google
32,2024-06-25,Web,56.1,Mobile OTP
32,2024-04-04,Gaming Console,33.1,Mobile OTP
32,2024-08-10,Mobile,83.6,Apple
32,2024-01-04,Web,75.5,Facebook
33,2024-01-03,Web,87.2,Apple
33,2024-05-18,Mobile,81.8,Mobile OTP
33,2025-06-24,Gaming Console,38.4,Mobile OTP
33,2024-01-21,Tablet,30.5,Email
33,2025-04-26,Tablet,89.4,Google
33,2024-06-20,Smart TV,97.1,Mobile OTP
33,2023-09-24,Gaming Console,22.5,Mobile OTP
33,2025-03-11,Mobile,78.5,Apple
33,2024-05-22,Gaming Console,92.8,Email
33,2025-04-13,Smart TV,88.6,Google
33,2024-05-17,Web,97.2,Mobile OTP
33,2023-08-30,Gaming Console,80.8,Mobile OTP
33,2024-11-06,Web,55.4,Facebook
33,2025-03-06,Smart TV,45.0,Google
33,2024-02-15,Tablet,45.7,Apple
34,2024-03-06,Web,38.4,Email
34,2023-08-13,Tablet,37.0,Email
34,2024-07-27,Smart TV,22.5,Mobile OTP
34,2025-04-08,Smart TV,72.1,Facebook
34,2025-03-10,Gaming Console,49.5,Apple
34,2024-11-28,Web,89.1,Facebook
34,2025-05-04,Web,57.9,Google
34,2024-10-05,Tablet,97.5,Facebook
34,2025-01-27,Tablet,34.8,Facebook
34,2024-07-02,Web,89.5,Facebook
34,2023-09-23,Gaming Console,82.1,Google
34,2023-11-20,Mobile,81.7,Google
34,2023-10-06,Tablet,87.6,Email
34,2025-01-24,Web,80.9,Facebook
34,2023-07-16,Web,70.1,Apple
34,2024-08-04,Mobile,30.5,Facebook
34,2024-03-22,Gaming Console,22.6,Mobile OTP
35,2025-02-03,Gaming Console,34.8,Google
35,2024-08-03,Smart TV,57.0,Google
35,2024-09-16,Mobile,20.1,Email
35,2023-08-29,Tablet,67.9,Facebook
35,2024-02-08,Tablet,68.6,Apple
35,2025-06-26,Gaming Console,39.8,Facebook
35,2024-12-03,Mobile,64.7,Email
35,2024-07-15,Gaming Console,38.0,Email
35,2025-01-09,Mobile,32.9,Mobile OTP
35,2025-02-17,Gaming Console,72.1,Email
35,2023-08-19,Gaming Console,46.1,Email
35,2025-06-06,Gaming Console,67.2,Facebook
35,2024-10-08,Gaming Console,54.7,Mobile OTP
35,2024-05-20,Gaming Console,98.7,Email
36,2024-11-05,Tablet,20.9,Google
36,2024-03-04,Web,25.8,Email
36,2025-03-29,Smart TV,51.4,Mobile OTP
36,2025-01-17,Gaming Console,58.4,Email
36,2024-10-06,Smart TV,68.0,Facebook
36,2023-11-07,Tablet,43.3,Email
36,2025-06-02,Gaming Console,75.6,Facebook
36,2024-05-08,Mobile,88.8,Google
36,2025-04-22,Gaming Console,82.4,Mobile OTP
36,2023-08-06,Mobile,23.2,Facebook
36,2023-09-25,Gaming Console,58.4,Mobile OTP
36,2023-10-16,Mobile,28.4,Apple
37,2023-10-25,Smart TV,28.2,Facebook
37,2024-02-17,Smart TV,65.7,Apple
37,2024-11-26,Smart TV,21.5,Mobile OTP
37,2024-03-05,Web,58.6,Mobile OTP
37,2025-05-14,Mobile,36.8,Mobile OTP
37,2025-04-11,Mobile,47.7,Mobile OTP
37,2025-03-06,Gaming Console,82.1,Facebook
37,2023-12-27,Tablet,95.3,Google
37,2024-10-03,Mobile,25.8,Facebook
37,2024-08-02,Mobile,62.7,Facebook
37,2023-09-26,Web,90.6,Mobile OTP
37,2024-02-03,Gaming Console,26.6,Mobile OTP
38,2024-07-20,Web,48.6,Apple
38,2024-06-28,Tablet,45.8,Facebook
38,2023-10-28,Web,98.2,Facebook
38,2025-05-15,Web,36.1,Email
38,2023-10-17,Gaming Console,75.5,Mobile OTP
38,2024-10-20,Mobile,85.7,Apple
38,2024-12-04,Web,23.3,Facebook
38,2024-09-11,Web,73.6,Apple
38,2025-03-03,Web,96.1,Email
38,2024-08-12,Mobile,29.9,Mobile OTP
38,2025-02-19,Web,91.7,Mobile OTP
38,2023-07-17,Web,67.6,Facebook
38,2023-07-30,Web,69.3,Email
38,2024-10-07,Smart TV,69.0,Facebook
38,2024-08-21,Gaming Console,43.9,Mobile OTP
